"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"Even the United States abrogated indexation clauses in bond contracts during the Great Depression of the 1930’s. So it can happen anywhere.","Sogar in den Vereinigten Staaten wurden während der Großen Depression der 1930er Jahre die Indexklauseln aus Anleiheverträgen gestrichen.  Das kann also überall passieren."
"Even so, the fact that very high inflation is possible does not make it probable, so one should be cautious in arguing that higher gold prices are being driven by inflation expectations.","Aber selbst wenn eine sehr hohe Inflation möglich ist, heißt das noch lange nicht, dass sie auch wahrscheinlich ist. Man sollte daher mit der Argumentation vorsichtig sein, wonach höhere Goldpreise von Inflationserwartungen angetrieben seien."
"Some have argued instead that gold’s long upward march has been partly driven by the development of new financial instruments that make it easier to trade and speculate in gold.","Mancherorts heißt es auch, der lange Aufwärtstrend des Goldes wäre teilweise durch die Entwicklung neuer Finanzinstrumente bedingt, die den Handel und die Spekulation mit Gold erleichterten."
"There is probably some slight truth – and also a certain degree of irony – to this argument.","Darin liegt möglicherweise ein Körnchen Wahrheit – und ein gewisses Maß an Ironie."
"After all, medieval alchemists engaged in what we now consider an absurd search for ways to transform base metals into gold.","Denn schon die mittelalterlichen Alchemisten beschäftigten sich mit der aus heutiger Sicht absurden Suche nach einer Möglichkeit, aus unedlen Metallen Gold zu machen."
"Wouldn’t it be paradoxical, then, if financial alchemy could make an ingot of gold worth dramatically more?","Wäre es nicht paradox, wenn es der Finanz-Alchemie gelänge, den Wert eines Goldbarrens dramatisch steigen zu lassen?"
"In my view, the most powerful argument to justify today’s high price of gold is the dramatic emergence of Asia, Latin America, and the Middle East into the global economy.","Meiner Ansicht nach ist der stärkste Grund für den heutigen hohen Goldpreis der dramatische Aufstieg Asiens, Lateinamerikas und des Mittleren Ostens in die Weltwirtschaft."
"As legions of new consumers gain purchasing power, demand inevitably rises, driving up the price of scarce commodities.","Legionen neuer Verbraucher gewinnen an Kaufkraft und damit steigt zwangsläufig die Nachfrage, wodurch der Preis für knappe Güter steigt."
"At the same time, emerging-market central banks need to accumulate gold reserves, which they still hold in far lower proportion than do rich-country central banks. With the euro looking less appetizing as a diversification play away from the dollar, gold’s appeal has naturally grown.","Zugleich müssen die Zentralbanken der Schwellenmärkte Goldreserven anlegen, die sie allerdings noch immer in viel geringerem Ausmaß halten, als die Zentralbanken reicher Länder.  Nachdem der Euro als Möglichkeit der Diversifizierung des Dollar-Portefeuilles wenig einladend wirkt, steigt natürlich der Reiz des Goldes.  "
"So, yes, there are solid fundamentals that arguably support today’s higher gold price, although it is far more debatable whether and to what extent they will continue to support higher prices in the future.","Also, ja, manche Fundamentaldaten untermauern durchaus die heutigen Goldpreise, obwohl es fraglich ist, ob und in welchem Ausmaß sie höhere Preise auch in Zukunft untermauern werden."
"Indeed, another critical fundamental factor that has been sustaining high gold prices might prove far more ephemeral than globalization.","Ein weiterer entscheidender und grundlegender Faktor, der zu hohen Goldpreisen beitrug, könnte sich als weit kurzlebiger erweisen als die Globalisierung."
"Gold prices are extremely sensitive to global interest-rate movements.","Der Goldpreis ist extrem empfindlich hinsichtlich globaler Veränderungen des Zinssatzes."
"After all, gold pays no interest and even costs something to store.","Schließlich bringt Gold keine Zinsen und die Lagerung kostet sogar etwas."
"Today, with interest rates near or at record lows in many countries, it is relatively cheap to speculate in gold instead of investing in bonds.","Angesichts der in vielen Ländern teilweise auf einem Rekordtief befindlichen Zinsen ist es relativ billig, mit Gold zu spekulieren, anstatt in Anleihen zu investieren."
"But if real interest rates rise significantly, as well they might someday, gold prices could plummet.","Wenn aber die realen Zinssätze signifikant ansteigen, wie dies eines Tages durchaus möglich ist, könnte der Goldkurs abstürzen."
"Most economic research suggests that gold prices are very difficult to predict over the short to medium term, with the odds of gains and losses being roughly in balance.","Aus den meisten ökonomischen Forschungsergebnissen geht hervor, dass eine kurz- bis mittelfristige Prognose des Goldpreises sehr schwierig ist, wobei sich die Chancen auf Gewinn und Verlust ungefähr ausgleichen."
"It is therefore dangerous to extrapolate from short-term trends.","Daher ist es gefährlich, aus kurzfristigen Trends Prognosen abzuleiten."
"Yes, gold has had a great run, but so, too, did worldwide housing prices until a couple of years ago.","Ja, mit Gold ist es prima gelaufen, aber bis vor ein paar Jahren war es auch mit weltweiten Immobilienpreisen so.  "
"If you are a high-net-worth investor, a sovereign wealth fund, or a central bank, it makes perfect sense to hold a modest proportion of your portfolio in gold as a hedge against extreme events.","Wenn Sie ein vermögender Investor, ein Staatsfonds oder eine Zentralbank sind, ist es unbedingt sinnvoll, einen bescheidenen Teil Ihres Portefeuilles zur Absicherung gegen extreme Ereignisse in Gold zu halten."
"But, despite gold’s heightened allure in the wake of an extraordinary run-up in its price, it remains a very risky bet for most of us.","Aber trotz seiner erhöhten Attraktivität im Gefolge einer außergewöhnlichen Preissteigerung, bleibt Gold für die meisten von uns eine sehr riskante Sache."
"Of course, such considerations might have little influence on prices.","Natürlich haben derartige Überlegungen möglicherweise wenig Einfluss auf die Goldpreise."
"What was true for the alchemists of yore remains true today: gold and reason are often difficult to reconcile.","Was für die Alchemisten von damals galt, trifft auch heute noch zu: Gold und Vernunft sind oft schwer unter einen Hut zu bringen."
"Last week Tony Blair, Jacques Chirac, and Gerhard Schroeder met in Berlin.","Vergangene Woche trafen sich Tony Blair, Jacques Chirac und Gerhard Schröder in Berlin."
"They departed pledging to revive Europe's growth.","Mit der Zusicherung, das Wachstum in Europa wieder zu beleben, gingen sie auseinander."
"We've heard that empty promise before.","Dieses leere Versprechen haben wir schon einmal gehört."
"Instead, the European Union needs a new direction.","Die Europäische Union braucht stattdessen eine neue Richtung."
"I say this as leader of the party which has been at the forefront of Britain's engagement with Europe.","Ich sage dies als Vorsitzender der Partei, die an vorderster Front für Großbritanniens Übereinkommen mit Europa eingetreten ist."
"It was a Conservative government that first applied for membership in the early 1960's.","Es war eine konservative Regierung, die Anfang der Sechzigerjahre die Mitgliedschaft zuerst beantragte."
"A Conservative government took the United Kingdom into the European Economic Community in 1973.","Eine konservative Regierung führte das Vereinigte Königreich im Jahr 1973 in die Europäische Wirtschaftsgemeinschaft."
"Margaret Thatcher worked with Jacques Delors to forge the Single Market in 1986.","Margaret Thatcher arbeitete mit Jacques Delors an der Zustimmung zum Binnenmarkt im Jahr 1986."
"So I have no doubt that Britain must remain influential within the Union.","Deshalb hege ich keinen Zweifel, dass Großbritannien innerhalb der Union einflussreich bleiben muss."
"But British policy towards the EU has often led to worse rather than better relations among member states.","Die britische Politik gegenüber der EU hat jedoch häufig zu schlechteren statt besseren Beziehungen zwischen Mitgliedsstaaten geführt."
"Faced with a new EU initiative, our traditional response has often been to oppose it, vote against it, lose the vote, then sulkily to adopt it while blaming everyone else.","Unsere traditionelle Reaktion einer neuen EU-Initiative gegenüber bestand häufig darin, diese abzulehnen, dagegen zu stimmen, die Abstimmung zu verlieren und die Initiative anschließend schmollend anzunehmen und dabei allen anderen die Schuld zu geben."
"Many Europeans are sick of British vetoes.","Viele Europäer sind die britischen Vetos leid."
"So am I.","Ich bin es auch."
"Of course there are basic requirements that all member states must accept.","Natürlich gibt es grundlegende Bedingungen, die alle Mitgliedsstaaten akzeptieren müssen."
"Foremost are the four freedoms of the single market; free movement of goods, services, people and capital.","An vorderster Stelle stehen die vier Freiheiten des Binnenmarktes: freier Verkehr von Gütern, Dienstleistungen, Menschen und Kapital."
"But a single market does not require a single social or industrial policy, far less a common taxation policy.","Ein Binnenmarkt erfordert jedoch keine einheitliche Sozial- oder Industriepolitik, weniger noch eine gemeinsame Steuerpolitik."
"Allowing countries to pursue their own policies in these areas encourages competitiveness.","Es fördert die Wettbewerbsfähigkeit, den Ländern die Möglichkeit zu geben, in diesen Bereichen ihre eigene Politik zu verfolgen."
"Forcing common standards means that Europe will fall further behind as member states shuffle their costs onto their neighbours.","Die Erzwingung gemeinsamer Richtlinien bedeutet, dass Europa weiter zurückfallen wird, da die Mitgliedsstaaten ihre Kosten auf ihre Nachbarn abwälzen."
"Which areas should be applied to every member state, and which should be optional?","Welche Bereiche sollten auf alle Mitgliedsstaaten angewendet werden und welche sollten optional sein?"
"I believe that every member state should administer those policies that do not directly and significantly affect other member states.","Ich denke, dass jedes Mitgliedsland die Richtlinien anwenden sollte, die keinen direkten und bedeutenden Einfluss auf andere Mitgliedsstaaten haben."
"In areas which serve their national interest, individual members should decide whether to retain wholly national control or whether to co‑operate with others.","In Bereichen, die ihren nationalen Interessen dienen, sollten die einzelnen Mitgliedsstaaten entscheiden, ob sie die gesamte nationale Kontrolle beibehalten oder mit anderen kooperieren wollen."
"The Union's members should form a series of overlapping circles: different combinations of members should be able to pool their responsibilities in different areas of their own choosing.","Die Mitglieder der Union sollten eine Reihe sich überschneidender Runden bilden: Mitgliedsländer in unterschiedlichen Kombinationen sollten die Möglichkeit haben, ihre Pflichten in verschiedenen Bereichen ihrer Wahl zusammenzulegen."
"Precedents exist for this.","Hierfür existieren Beispiele."
"NATO has been flexible since its inception.","Die NATO ist von Anfang an flexibel gewesen."
"France signed up for membership but later refused to submit her armed forces to NATO's central command.","Frankreich unterschrieb die Beitrittserklärung, lehnte es später jedoch ab, seine militärischen Einsatzkräfte dem Oberkommando der NATO zu unterstellen."
"Similar flexibility exists with the Euro, the Schengen Agreement, and the Social Chapter.","Eine vergleichbare Flexibilität existiert beim Euro, beim Schengen-Abkommen und bei der Sozialcharta."
"These precedents can be extended.","Diese Beispielsfälle kann man erweitern."
"So far, everyone has had to move forward together, with individual countries negotiating specific opt‑outs.","Bisher mussten sich alle gemeinsam vorwärts bewegen, wobei einzelne Länder bestimmte Möglichkeiten der Nichtteilnahme aushandelten."
"But since 1998, there has been a procedure within the Treaties - called enhanced co‑operation - that could allow some members to go ahead with further integration in a specific area without involving every other member.","Seit 1998 gibt es jedoch ein Verfahren innerhalb der Abkommen - verstärkte Zusammenarbeit genannt - das es einigen Mitgliedern ermöglichen könnte, die Integration in einem bestimmten Gebiet fortzusetzen, ohne alle anderen Mitglieder daran zu beteiligen."
"Instead of individual member states having fraught negotiations to opt‑out of a new initiative, those that support it can simply opt‑in.","So müssen einzelne Mitgliedsstaaten keine angespannten Verhandlungen über die Möglichkeit der Nichtteilnahme an einer neuen Initiative führen, sondern diejenigen, die die Initiative unterstützen, können sich einfach dafür entscheiden."
"Countries that want to integrate further can do so.","Länder, die sich weiter integrieren wollen, können dies tun."
"They don't need to drag Britain and others kicking and screaming in their wake because the others are not compelled to join them.","Sie müssen Großbritannien und andere nicht strampelnd und zeternd in ihrem Kielwasser mitziehen, weil diese nicht gezwungen sind, ihnen zu folgen."
"In this way we can break free of the institutionalised tug of war that has characterised EU relations.","Auf diese Art und Weise können wir uns aus dem institutionalisierten Tauziehen befreien, das charakteristisch für die EU-Beziehungen war."
"I am not talking about a two‑speed Europe.","Ich meine kein Europa mit zwei unterschiedlichen Geschwindigkeiten."
"That implies that we all agree on the destination and differ only about the speed of the journey.","Das würde voraussetzen, dass wir uns alle über das Ziel einig und nur über die Geschwindigkeit der Reise anderer Meinung sind."
"I don't want to reach the destination that some of our partners may aspire to.","Ich will nicht das Ziel erreichen, das einige unserer Partner vielleicht anstreben."
"But I don't want to block their way.","Aber ich möchte ihnen nicht im Wege stehen."
"There are some who say that this would mean a loss of influence on the part of those countries which choose not to integrate more closely.","Manche meinen, dass dies für Länder, die sich gegen eine engere Integration entscheiden, bedeuten würde an Einfluss zu verlieren."
"But influence is not an end in itself - it is a means to an end.","Einfluss an sich ist jedoch kein Zweck - es ist ein Mittel zum Zweck."
"Britain does not need a seat at the table when decisions on the Euro are taken.","Großbritannien muss nicht mit am Tisch sitzen, wenn Entscheidungen über den Euro gefällt werden."
"Our economy has not been adversely affected by staying out.","Durch das Außen vor bleiben haben sich für unsere Wirtschaft keine nachteiligen Auswirkungen ergeben."
"Keeping the pound does not mean that we oppose the Euro, or hope for its failure.","Das wir am Pfund festhalten, bedeutet nicht, dass wir den Euro ablehnen oder sein Scheitern wünschen."
"The European Union should stop trying to do everything and concentrate on doing fewer things more effectively.","Die Europäische Union sollte mit dem Versuch aufhören, alles zu tun und sich darauf konzentrieren, sich mit weniger Dingen effektiver zu beschäftigen."
"It should give member states the chance to develop an approach to Europe that suits their national traditions, within the EU framework.","Sie sollte Mitgliedsländern die Chance geben, eine Herangehensweise an Europa zu entwickeln, die ihren nationalen Traditionen gerecht wird, innerhalb des EU-Gefüges."
"It is on this basis that British Conservatives oppose the proposed constitution.","Dies ist die Grundlage, auf der britische Konservative den Verfassungsvorschlag ablehnen."
"We disagree with many of its contents, of course, but also oppose the idea of having an EU constitution at all.","Wir sind, natürlich, mit vielen Inhalten nicht einverstanden, lehnen jedoch auch die Vorstellung ab, überhaupt eine EU-Verfassung zu haben."
"There is a world of difference between an association of nation states bound together by treaty, and a single entity, whether you call it a state or not, with its own legal personality, deriving its authority from its own constitution.","Es ist ein himmelweiter Unterschied zwischen einer Vereinigung von Nationalstaaten, die durch einen Vertag aneinander gebunden sind, und einem einzigen Rechtssubjekt, ob man dieses als Staat bezeichnet oder nicht, mit seiner eigenen Rechtspersönlichkeit, das seine Autorität aus seiner eigenen Verfassung ableitet."
"If this constitution were accepted in anything like the proposed form, the EU would gain many attributes and trappings of statehood: its own president and foreign minister, its own legal system.","Würde diese Verfassung ähnlich der vorgeschlagenen Form angenommen, bekäme die EU eine Menge Attribute und Symbole der Staatlichkeit hinzu: ihren eigenen Präsidenten und Außenminister, ihr eigenes Rechtssystem."
"The supremacy of EU law would derive not from Acts of national Parliaments but from a supra‑national constitution.","Die Vorherrschaft des EU-Rechts würde sich nicht aus den Gesetzen nationaler Parlamente herleiten, sondern aus einer supranationalen Verfassung."
"That is a radical change, not the mere tidying‑up exercise some suggest.","Das ist eine radikale Veränderung, nicht, wie manche meinen, eine bloße Aufräumaktion."
"I do not believe it is right to make a change of such magnitude without specifically consulting the people on whose behalf we govern.","Meiner Ansicht nach ist es nicht richtig, eine Veränderung dieser Größenordnung durchzuführen, ohne sich ausdrücklich mit den Menschen beraten zu haben, in deren Auftrag wir regieren."
"Elected parliaments do not own our liberties.","Gewählte Parlamente besitzen unsere Freiheiten nicht."
"They safeguard them, and should not diminish those liberties without an explicit mandate.","Sie schützen sie und sollten diese Freiheiten nicht ohne einen ausdrücklichen Auftrag schmälern."
"Any proposal for a new constitution must be put to the British people and to the people in each EU member state.","Jeder Vorschlag für eine neue Verfassung muss den britischen und allen anderen Bürgern in jedem der EU-Mitgliedsländer vorgelegt werden."
"BRUSSELS – Austerity alone cannot solve Europe's economic and financial crisis.","BRÜSSEL: Sparen allein kann Europas Wirtschafts- und Finanzkrise nicht lösen."
"Growth and jobs need to be promoted with equal zeal.","Wachstum und Arbeitsplätze müssen mit gleicher Entschlossenheit gefördert werden."
"European Union leaders now recognize this: kick-starting growth in 2012 was high on the agenda at the European Council’s meeting on January 30.","Die Staats- und Regierungschefs der Europäischen Union erkennen dies jetzt an: Die Ankurbelung des Wachstums stand bei der Sitzung des Europäischen Rates am 30. Januar für 2012 ganz oben auf der Tagesordnung."
"But the big question remains: How?","Aber eine große Frage bleibt: Wie?"
"The need for immediate action is clear.","Dass sofort gehandelt werden muss, ist eindeutig."
"The eurozone’s economy contracted in the last three months of 2011; even Germany’s shrank.","Die Wirtschaft der Eurozone ist in den letzten drei Monaten des Jahres 2011 geschrumpft, und zwar selbst in Deutschland."
"The new year is looking grim.","Es sieht finster aus für das neue Jahr."
"France is flat-lining (as is Britain).","Frankreich stagniert (und Großbritannien auch)."
"Italy and Spain have sunk into deep recession.","Italien und Spanien sind tief in die Rezession abgerutscht."
"Greece is in its fifth year of a slump.","Griechenland erlebt sein fünftes Jahr des Abschwungs."
"And eurozone unemployment is at record highs, with nearly one in two young people jobless in Spain and Greece.","Und die Arbeitslosigkeit in der Eurozone ist auf Rekordniveau gestiegen, und fast die Hälfte aller jungen Leute in Spanien und Griechenland sind arbeitslos."
"The economic headwinds are formidable: fiscal austerity, high interest rates outside AAA-rated countries, credit cutting by banks, deleveraging households, weak private-sector investment, and declining exports as the global slowdown undermines demand.","Der wirtschaftliche Gegenwind ist gewaltig: öffentliche Sparmaßnahmen, hohe Zinsen außerhalb der Länder mit AAA-Rating, Einschränkungen der Banken bei der Kreditvergabe, die Entschuldung der privaten Haushalte, geringe Investitionen im privaten Sektor und ein Rückgang der Exporte, da der weltweite Abschwung auf die Nachfrage drückt."
"Until growth resumes, any tentative financial stabilization will be extremely fragile.","Bis es wieder Wachstum gibt, steht jede noch so schwache Finanzstabilisierung auf äußerst wackeligen Füßen."
"Recession will hit banks’ and governments’ already-weak balance sheets, increasing pressure for faster deleveraging.","Die Rezession wird die Bilanzen der Banken und Regierungen in Mitleidenschaft ziehen und den Druck zum schnelleren Schuldenabbau erhöhen."
"But, while gradual adjustment is essential, faster and deeper cuts are largely self-defeating: big reductions in private credit and government spending will cause a sharper slowdown – and thus a vicious downward spiral.","Doch während eine allmähliche Anpassung unverzichtbar ist, sind schnellere und tiefere Einschnitte überwiegend kontraproduktiv: Eine starke Verringerung des privaten Kreditvolumens und der Staatsausgaben wird den Abschwung verschärfen und daher eine teuflische Abwärtsspirale in Gang setzen."
"A big new push for growth is therefore vital.","Ein neuer, starker Wachstumsanschub ist daher unverzichtbar."
"So far, the growth agenda has consisted largely of structural reforms, which are essential for boosting future productivity and flexibility.","Bisher besteht die Wachstumsagenda überwiegend aus Strukturreformen. Diese sind für eine Steigerung der künftigen Produktivität und Flexibilität von zentraler Bedeutung, und die Krise bietet vielen Ländern eine politische Gelegenheit für kühne Schritte an dieser Front."
"The crisis does provide a political opportunity for bold moves on this front in many countries; but structural reforms generally will not generate growth and jobs immediately (one exception is permitting shops to open longer).","Aber Strukturreformen sorgen im Allgemeinen nicht sofort für mehr Wachstum und Arbeitsplätze (eine Ausnahme ist die Verlängerung der Ladenöffnungszeiten)."
"On the contrary, a shakeout of less productive jobs, for example, would at first raise unemployment, increase government outlays, and reduce private spending.","Im Gegenteil: Ein Abbau weniger produktiver Arbeitsplätze etwa würde zunächst einmal die Arbeitslosigkeit erhöhen, die staatlichen Aufwendungen steigern und die privaten Ausgaben verringern."
"And, because demand is depressed, credit is in short supply, and barriers to enterprise are often high, it will take longer than usual for businesses to create more productive jobs.","Und weil die Nachfrage rückläufig ist, Kredite kaum zu bekommen und die Hürden für Unternehmen häufig hoch sind, wird es länger als sonst dauern, um produktivere Arbeitsplätze zu schaffen."
"In short, structural reforms alone cannot be relied upon to stimulate growth in 2012.","Auf den Punkt gebracht: Strukturreformen allein werden das Wachstum 2012 nicht ankurbeln."
"Instead, the immediate focus needs to be on boosting investment and exports in economies with a current-account deficit – such as France, Italy, and Spain (and the United Kingdom) – and stimulating consumption in surplus countries such as Germany and the Netherlands.","Stattessen müssen wir uns unmittelbar auf die Stärkung von Investitionen und Export in Volkswirtschaften mit Leistungsbilanzdefiziten – wie Frankreich, Italien und Spanien (und Großbritannien) – und auf die Ankurbelung des privaten Verbrauchs in Überschussländern wie Deutschland und den Niederlanden konzentrieren."
"The European Central Bank has acted decisively to prop up European banks; now it needs to support the real economy, too.","Die Europäische Zentralbank hat entschieden gehandelt, um die europäischen Banken zu stützen; jetzt muss sie auch die Realwirtschaft unterstützen."
"While official interest rates are only 1%, solvent sovereigns such as Spain pay more than 5% to borrow for ten years, while creditworthy businesses in Italy can borrow only at punitive rates, if at all.","Während die offiziellen Zinssätze nur 1% betragen, zahlen solvente Staaten wie Spanien mehr als 5% auf zehnjährige Anleihen, während kreditwürdige Unternehmen in Italien Kredite wenn überhaupt nur zu schmerzhaft hohen Zinsen erhalten."
"So the ECB should do more to unblock the transmission mechanism for monetary policy; the European Banking Authority should discourage excessive deleveraging by insisting that banks raise specific capital amounts rather than hit a uniform 9% ratio; and, where necessary, national governments should provide guarantees for bank lending to small and medium-size businesses.","Die EZB sollte also mehr tun, um den Transmissionsmechanismus in der Geldpolitik zu entsperren; die Europäische Bankaufsichtsbehörde sollte einer exzessiven Entschuldung entgegenwirken, indem sie dafür eintritt, dass die Banken statt einer einheitlichen Eigenkapitalquote von 9% bestimmte Kapitalbeträge aufbringen; und ggf. sollten die nationalen Regierungen Bürgschaften für Bankkredite an kleine und mittelgroße Firmen übernehmen."
"While improving access to finance is vital, governments also need to do more to boost investment.","Ein verbesserter Zugriff auf Finanzmittel ist lebenswichtig, aber die Regierungen müssen außerdem mehr tun, um die Investitionen zu steigern."
"They should prioritize measures to make it easier to start a business, lift barriers to venture capital, and introduce temporary 100% capital allowances to encourage businesses to bring forward investment.","Sie sollten Maßnahmen priorisieren, um Unternehmen zu starten, Barrieren für den Zugang zu Wagniskapital abbauen und vorübergehend Abschreibungen in Höhe von 100% zulassen, um die Unternehmen zu ermutigen, Investitionen vorzuziehen."
"At the EU level, the (callable) capital of the European Investment Bank should be greatly increased, as European Commission President José Manuel Barroso suggested in his State of the Union speech last September, so that the EIB can finance a big wave of pan-European investment, notably in infrastructure.","Auf EU-Ebene sollte das (abrufbare) Kapital der Europäischen Investitionsbank stark erhöht werden, wie es der Präsident der Europäischen Kommission, José Manuel Barroso, in seiner Rede zur Lage der Union im vergangenen September vorgeschlagen hat, damit die EIB eine große Welle europaübergreifender Investitionen insbesondere im Bereich der Infrastruktur finanzieren kann."
"Boosting exports is also essential.","Eine Ankurbelung des Exports ist ebenfalls von zentraler Bedeutung."
"Deficit countries need to become more competitive, increasing productivity while cutting costs.","Die Defizitländer müssen konkurrenzfähiger werden und bei gleichzeitiger Senkung ihrer Kosten die Produktivität steigern."
"A more competitive currency would be welcome: just as the sterling’s collapse since 2008 has lifted UK exports, a weaker euro would help Mediterranean economies regain competitiveness for price-sensitive exports.","Eine konkurrenzfähigere Währung wäre zu begrüßen: Genau wie der Zusammenbruch des Pfund Sterling seit 2008 die britischen Exporte erhöht hat, würde ein schwächerer Euro den Volkswirtschaften des Mittelmehrraums helfen, bei preissensiblen Exporten wieder konkurrenzfähiger zu werden."
"A fiscal devaluation – slashing payroll taxes and replacing the revenues with a higher VAT – would also help.","Eine Abwertung über die Finanzpolitik – durch drastische Senkung der Lohnsteuer und Sozialversicherungsbeiträge und Ersetzung dieser Einnahmen durch eine höhere Mehrwertsteuer – würde ebenfalls helfen."
"Surplus countries, too, must do their part, which is in their own interest.","Auch die Überschussländer müssen ihr Teil beitragen, auch im eigenen Interesse."
"Just as China needs to allow the renminbi to rise, so Germany – whose current-account surplus exceeds China's both as a share of GDP and in absolute terms – needs a higher real exchange rate.","Ganz so, wie China eine Aufwertung des Renminbi zulassen muss, braucht Deutschland – dessen Leistungsbilanzüberschuss den Chinas sowohl als Anteil vom BIP und absolut gesehen übersteigt – einen höheren realen Wechselkurs."
"That means that Germans need to earn higher wages, commensurate with their increased productivity, so that they can afford more Greek and Spanish holidays.","Dies bedeutet, dass die deutschen Löhne und Gehälter entsprechend der höheren Produktivität in Deutschland steigen müssen, sodass sich die Deutschen mehr Urlaube in Griechenland und Spanien leisten können."
"If businesses will not oblige, an income-tax cut would do the trick.","Wenn die Unternehmen dabei nicht mitmachen, würde auch eine Einkommensteuersenkung funktionieren."
"That brings us to fiscal policy.","Dies bringt uns zur Fiskalpolitik."
"Governments that cannot borrow cheaply (or at all) from markets have no option but to tighten their belts.","Regierungen, die auf dem Markt nicht günstig (oder überhaupt nicht) an Kredite kommen, haben keine andere Wahl, als den Gürtel enger zu schnallen."
